"","",""
"Abronia","sand verbena","SD(Custer, Fall River)"
"Aquilegia","columbine","SD(Brookings, Clay, Custer, Day, Grant, Gregory, Lawrence, Lincoln, Marshall, Minnehaha, Pennington, Roberts, Union, Yankton)"
"Aquilegia brevistyla","smallflower columbine","SD(Custer, Lawrence, Pennington)"
"Aquilegia canadensis","red columbine","SD(Brookings, Clay, Custer, Day, Grant, Gregory, Lawrence, Lincoln, Marshall, Minnehaha, Pennington, Roberts, Union, Yankton)"
"Arabidopsis","rockcress","SD(Lawrence, Pennington)"
"Arabidopsis thaliana","mouseear cress","SD(Lawrence, Pennington)"
"Arabis","rockcress","SD(Bennett, Brookings, Brule, Clay, Codington, Corson, Custer, Day, Dewey, Fall River, Harding, Lawrence, Lincoln, Marshall, McPherson, Meade, Mellette, Minnehaha, Pennington, Roberts, Sanborn, Spink, Stanley, Todd, Tripp, Turner, Union, Walworth)"
"Arabis ×divaricarpa","spreadingpod rockcress","SD(Custer, Day, Harding, Lawrence, Pennington)"
"Arabis canadensis","sicklepod","SD(Lincoln, Marshall, Roberts)"
"Arabis drummondii","Drummond's rockcress","SD(Lawrence, Pennington)"
"Arabis glabra","tower rockcress","SD(Custer, Harding, Lawrence, Pennington, Turner)"
"Arabis hirsuta","hairy rockcress","SD(Brookings, Brule, Codington, Corson, Custer, Day, Dewey, Fall River, Harding, Lawrence, Marshall, McPherson, Mellette, Minnehaha, Pennington, Sanborn, Spink, Stanley, Tripp, Union, Walworth)"
