"","",""
"Abies","fir","GA(Fannin)"
"Hydrangea","hydrangea","GA(Bartow, Burke, Carroll, Catoosa, Chattooga, Clarke, Clay, Cobb, Dade, Dawson, Decatur, Early, Floyd, Forsyth, Fulton, Gilmer, Gordon, Habersham, Hall, Hancock, Harris, Heard, Jackson, Lumpkin, Meriwether, Morgan, Murray, Oglethorpe, Polk, Rabun, Randolph, Rockdale, Spalding, Stephens, Talbot, Taylor, Union, Upson, Walker, White, Whitfield, Wilkes)"
"Hydrangea arborescens","wild hydrangea","GA(Bartow, Burke, Carroll, Catoosa, Chattooga, Clarke, Clay, Cobb, Dade, Dawson, Floyd, Forsyth, Fulton, Gilmer, Gordon, Habersham, Hall, Hancock, Harris, Jackson, Lumpkin, Morgan, Murray, Oglethorpe, Rabun, Rockdale, Spalding, Stephens, Union, Upson, Walker, White, Whitfield, Wilkes)"
"Hydrangea quercifolia","oakleaf hydrangea","GA(Clay, Dade, Decatur, Early, Floyd, Harris, Heard, Meriwether, Murray, Polk, Randolph, Talbot, Taylor, Upson, Walker)"
"Hydrastis","hydrastis","GA(Walker)"
"Hydrastis canadensis","goldenseal","GA(Walker)"
"Hydrilla","hydrilla","GA(Decatur, Seminole)"
"Hydrilla verticillata","waterthyme","GA(Decatur, Seminole)"
"Hydrocotyle","hydrocotyle","GA(Baker, Berrien, Bibb, Burke, Camden, Candler, Chatham, Clarke, Coweta, Decatur, Echols, Fulton, Glynn, Grady, Harris, Jefferson, Lamar, Liberty, Long, Lowndes, McIntosh, Morgan, Oglethorpe, Richmond, Thomas)"
"Hydrocotyle bonariensis","largeleaf pennywort","GA(Camden, Chatham, Glynn, Liberty, McIntosh)"
"Hydrocotyle bowlesioides","largeleaf marshpennywort","GA(Thomas)"
"Hydrocotyle prolifera","whorled marshpennywort","GA(Decatur)"
"Hydrocotyle ranunculoides","floating marshpennywort","GA(Decatur, Liberty)"
"Hydrocotyle sibthorpioides","lawn marshpennywort","GA(Bibb, Coweta, Fulton, Harris, Lowndes, Richmond)"
"Hydrocotyle umbellata","manyflower marshpennywort","GA(Baker, Berrien, Bibb, Candler, Chatham, Clarke, Decatur, Echols, Jefferson, Lamar, Liberty, Lowndes, McIntosh, Morgan)"
"Hydrocotyle verticillata","whorled marshpennywort","GA(Berrien, Bibb, Burke, Camden, Coweta, Decatur, Grady, Harris, Lamar, Long, McIntosh, Morgan, Oglethorpe)"
"Hydrocotyle verticillata var. verticillata","whorled marshpennywort","GA(Berrien, Bibb, Burke, Camden, Coweta, Decatur, Grady, Harris, Lamar, Long, McIntosh, Morgan, Oglethorpe)"
"Hydrolea","false fiddleleaf","GA(Baker, Ben Hill, Bleckley, Burke, Camden, Clinch, Dougherty, Early, Echols, Effingham, Glynn, Grady, Houston, McDuffie, Miller, Mitchell, Richmond, Screven, Seminole, Worth)"
"Hydrolea corymbosa","skyflower","GA(Camden, Early, Echols, Glynn, Miller)"
"Hydrolea ovata","ovate false fiddleleaf","GA(Baker, Bleckley, Dougherty, Seminole, Worth)"
"Hydrolea quadrivalvis","waterpod","GA(Ben Hill, Burke, Clinch, Effingham, Grady, Houston, McDuffie, Mitchell, Richmond, Screven)"
"Hydrophyllum","waterleaf","GA(Bartow, Floyd, Murray, Stephens, Towns, Union, Walker, White)"
"Hydrophyllum canadense","bluntleaf waterleaf","GA(Bartow, Floyd, Murray, Stephens, Towns, Union, Walker, White)"
"Hydrophyllum macrophyllum","largeleaf waterleaf","GA(Murray)"
"Hygrophila","swampweed","GA(Decatur)"
"Hygrophila lacustris","gulf swampweed","GA(Decatur)"
"Hylotelephium","stonecrop","GA(Clarke)"
"Hylotelephium erythrostictum","garden stonecrop","GA(Clarke)"
"Hymenocallis","spiderlily","GA(Appling, Bacon, Baker, Bartow, Ben Hill, Berrien, Bibb, Brantley, Brooks, Bryan, Calhoun, Camden, Charlton, Cherokee, Colquitt, Crisp, Decatur, Dougherty, Glynn, Grady, Gwinnett, Lee, Lincoln, Lowndes, Miller, Monroe, Morgan, Quitman, Seminole, Spalding, Sumter, Thomas, Upson, Walker, Wayne, Wilkes)"
"Hymenocallis choctawensis","Choctaw spiderlily","GA(Baker, Decatur, Dougherty)"
"Hymenocallis coronaria","shoals spiderlily","GA(Lincoln, Upson, Wilkes)"
"Hymenocallis crassifolia","coastal Carolina spiderlily","GA(Brantley, Bryan, Camden, Glynn, Wayne)"
"Hymenocallis duvalensis","Dixie spiderlily","GA(Bacon, Berrien, Brooks, Charlton, Colquitt, Grady, Lowndes, Miller, Thomas)"
"Hymenocallis occidentalis","northern spiderlily","GA(Appling, Bartow, Ben Hill, Bibb, Calhoun, Cherokee, Crisp, Decatur, Dougherty, Grady, Gwinnett, Lee, Monroe, Morgan, Quitman, Seminole, Spalding, Sumter, Walker)"
"Hymenocallis occidentalis var. occidentalis","Northern spiderlily","GA(Appling, Bartow, Ben Hill, Bibb, Calhoun, Cherokee, Crisp, Decatur, Dougherty, Grady, Gwinnett, Lee, Monroe, Morgan, Quitman, Seminole, Spalding, Sumter, Walker)"
"Hymenopappus","hymenopappus","GA(Ben Hill, Bibb, Bulloch, Burke, Lowndes, Montgomery, Taylor, Toombs, Wilcox)"
"Hymenopappus scabiosaeus","Carolina woollywhite","GA(Ben Hill, Bibb, Bulloch, Burke, Lowndes, Montgomery, Taylor, Toombs, Wilcox)"
"Hymenopappus scabiosaeus var. scabiosaeus","Carolina woollywhite","GA(Ben Hill, Bibb, Bulloch, Burke, Lowndes, Montgomery, Taylor, Toombs, Wilcox)"
"Hypericum","St. Johnswort","GA(Appling, Atkinson, Bacon, Baker, Banks, Barrow, Bartow, Ben Hill, Berrien, Bibb, Brantley, Brooks, Bryan, Bulloch, Butts, Calhoun, Camden, Candler, Catoosa, Charlton, Chatham, Chattooga, Clarke, Clay, Clinch, Cobb, Coffee, Colquitt, Columbia, Cook, Coweta, Crawford, Crisp, Dade, Dawson, DeKalb, Decatur, Dodge, Dooly, Dougherty, Douglas, Early, Echols, Effingham, Elbert, Emanuel, Evans, Floyd, Forsyth, Franklin, Fulton, Gilmer, Glynn, Gordon, Grady, Greene, Gwinnett, Hall, Hancock, Harris, Hart, Heard, Irwin, Jackson, Jasper, Jeff Davis, Jenkins, Johnson, Jones, Lamar, Lanier, Laurens, Lee, Liberty, Lincoln, Long, Lowndes, Lumpkin, Macon, Madison, McDuffie, McIntosh, Meriwether, Miller, Mitchell, Monroe, Montgomery, Morgan, Murray, Muscogee, Newton, Oconee, Oglethorpe, Pierce, Pike, Rabun, Randolph, Richmond, Rockdale, Screven, Seminole, Spalding, Stephens, Sumter, Talbot, Tattnall, Taylor, Telfair, Terrell, Thomas, Tift, Toombs, Towns, Treutlen, Turner, Union, Upson, Walker, Walton, Ware, Washington, Wayne, Wheeler, White, Whitfield, Wilcox, Wilkes, Worth)"
"Hypericum adpressum","creeping St. Johnswort","GA(Dougherty)"
"Hypericum brachyphyllum","coastal plain St. Johnswort","GA(Atkinson, Bacon, Brantley, Brooks, Calhoun, Camden, Chatham, Coffee, Colquitt, Dodge, Dougherty, Early, Echols, Evans, Grady, Irwin, Jeff Davis, Lanier, Liberty, Long, Lowndes, Macon, McIntosh, Pierce, Taylor, Telfair, Thomas, Tift, Turner, Ware, Wilcox)"
"Hypericum buckleii","Buckley's St. Johnswort","GA(Rabun, Towns, Union)"
"Hypericum canadense","lesser Canadian St. Johnswort","GA(Camden, Worth)"
"Hypericum cistifolium","roundpod St. Johnswort","GA(Berrien, Brooks, Bryan, Bulloch, Camden, Candler, Charlton, Chatham, Colquitt, Cook, Echols, Evans, Glynn, Gwinnett, Lanier, Lee, Liberty, Long, McIntosh, Miller, Pierce, Sumter, Ware, Wayne, Worth)"
"Hypericum crux-andreae","St. Peterswort","GA(Baker, Barrow, Bartow, Brooks, Bulloch, Candler, Charlton, Chatham, Clarke, Colquitt, Cook, Crisp, Decatur, Douglas, Floyd, Glynn, Grady, Hall, Irwin, Lee, Long, McIntosh, Montgomery, Richmond, Seminole, Spalding, Stephens, Tattnall, Telfair, Tift, Toombs, Treutlen, Wayne, Worth)"
"Hypericum densiflorum","bushy St. Johnswort","GA(Bartow, Catoosa, Chattooga, Cook, Murray, Rabun, Sumter, Walker)"
"Hypericum denticulatum","coppery St. Johnswort","GA(Catoosa, Chatham, Douglas, Effingham, Elbert, Emanuel, Harris, Lamar, Lincoln, Montgomery, Oglethorpe, Thomas)"
"Hypericum dolabriforme","straggling St. Johnswort","GA(Bartow, Catoosa, Walker)"
"Hypericum drummondii","nits and lice","GA(Baker, Bartow, Bibb, Charlton, Chatham, Columbia, Early, Lincoln, Oglethorpe, Richmond, Seminole, Spalding)"
"Hypericum erythreae","sparse-leaved St. Johnswort","GA(Bryan, Bulloch, Candler, Chatham, Emanuel, Evans, Jenkins, McIntosh, Screven, Tattnall)"
"Hypericum fasciculatum","peelbark St. Johnswort","GA(Appling, Baker, Berrien, Brantley, Brooks, Calhoun, Camden, Charlton, Chatham, Clay, Clinch, Colquitt, Cook, Early, Echols, Grady, Lanier, Lee, Long, Lowndes, McIntosh, Miller, Mitchell, Screven, Seminole, Tattnall, Thomas, Tift, Ware, Wayne, Wilcox, Worth)"
"Hypericum frondosum","cedarglade St. Johnswort","GA(Bibb, Crawford, Dade, DeKalb, Early)"
"Hypericum galioides","bedstraw St. Johnswort","GA(Appling, Baker, Berrien, Brantley, Brooks, Bryan, Bulloch, Camden, Candler, Charlton, Chatham, Clinch, Colquitt, Cook, Decatur, Dodge, Echols, Evans, Glynn, Grady, Lanier, Laurens, Lee, Liberty, Long, Lowndes, McIntosh, Mitchell, Montgomery, Seminole, Tattnall, Tift, Toombs, Wayne, Wheeler)"
"Hypericum gentianoides","orangegrass","GA(Baker, Bartow, Berrien, Brooks, Bulloch, Chatham, Chattooga, Clarke, Cobb, Colquitt, Columbia, Cook, DeKalb, Dodge, Dooly, Dougherty, Elbert, Emanuel, Evans, Forsyth, Franklin, Fulton, Grady, Greene, Hall, Hart, Jackson, Jones, Lanier, Lee, Liberty, Lowndes, Lumpkin, McIntosh, Montgomery, Morgan, Murray, Newton, Oglethorpe, Pike, Rabun, Rockdale, Thomas, Tift, Treutlen, Walker, Wilkes, Worth)"
"Hypericum gymnanthum","claspingleaf St. Johnswort","GA(Bartow, Chatham, McIntosh, Meriwether)"
"Hypericum harperi","sharplobe St. Johnswort","GA(Calhoun, Dooly, Dougherty, Early, Jenkins, Lee, Mitchell)"
"Hypericum hypericoides","St. Andrew's cross","GA(Banks, Barrow, Bartow, Ben Hill, Bulloch, Butts, Charlton, Chatham, Chattooga, Clarke, Coffee, Colquitt, Columbia, Coweta, Crawford, Dade, Dawson, DeKalb, Dooly, Early, Elbert, Emanuel, Floyd, Forsyth, Glynn, Gordon, Grady, Greene, Gwinnett, Hall, Hancock, Harris, Hart, Jackson, Johnson, Jones, Liberty, Lincoln, Long, Lowndes, Lumpkin, Macon, Madison, McIntosh, Meriwether, Monroe, Montgomery, Morgan, Murray, Muscogee, Newton, Oconee, Oglethorpe, Rabun, Stephens, Sumter, Talbot, Tattnall, Taylor, Telfair, Toombs, Towns, Treutlen, Union, Walton, Ware, Washington, Wayne, Wheeler, White, Whitfield, Worth)"
"Hypericum hypericoides ssp. hypericoides","St. Andrew's cross","GA(Banks, Barrow, Bartow, Ben Hill, Bulloch, Butts, Charlton, Chatham, Chattooga, Clarke, Coffee, Colquitt, Columbia, Coweta, Crawford, Dade, Dawson, DeKalb, Dooly, Early, Elbert, Emanuel, Floyd, Forsyth, Glynn, Gordon, Grady, Greene, Gwinnett, Hall, Hancock, Harris, Hart, Jackson, Johnson, Jones, Liberty, Lincoln, Long, Lowndes, Lumpkin, Macon, Madison, McIntosh, Meriwether, Monroe, Montgomery, Morgan, Murray, Muscogee, Newton, Oconee, Oglethorpe, Rabun, Stephens, Sumter, Talbot, Tattnall, Taylor, Telfair, Toombs, Towns, Treutlen, Union, Walton, Ware, Washington, Wayne, Wheeler, White, Whitfield, Worth)"
"Hypericum lloydii","sandhill St. Johnswort","GA(Coffee, Columbia, Heard, Johnson, Lamar, Richmond, Turner)"
"Hypericum microsepalum","flatwoods St. Johnswort","GA(Atkinson, Calhoun, Lowndes, Miller)"
"Hypericum mutilum","dwarf St. Johnswort","GA(Baker, Barrow, Bartow, Ben Hill, Brooks, Chatham, Chattooga, Clarke, Cook, Dawson, Decatur, Echols, Elbert, Fulton, Gilmer, Glynn, Grady, Hall, Harris, Lanier, Lowndes, Lumpkin, McDuffie, McIntosh, Morgan, Murray, Muscogee, Oconee, Oglethorpe, Rabun, Randolph, Spalding, Stephens, Sumter, Union, Walker, White, Wilkes)"
"Hypericum myrtifolium","myrtleleaf St. Johnswort","GA(Appling, Brantley, Brooks, Bulloch, Charlton, Chatham, Colquitt, Cook, Grady, Irwin, Jenkins, Lanier, Long, Lowndes, McIntosh, Miller, Mitchell, Terrell, Thomas, Toombs, Ware, Wilcox)"
"Hypericum nitidum","Carolina St. Johnswort","GA(Appling, Berrien, Brooks, Bulloch, Calhoun, Charlton, Clinch, Colquitt, Cook, Crisp, Decatur, Dodge, Dooly, Grady, Irwin, Jenkins, Johnson, Lanier, Liberty, Lowndes, Macon, Pierce, Screven, Tattnall, Thomas, Toombs, Treutlen, Ware, Wheeler, Wilcox, Worth)"
"Hypericum nudiflorum","early St. Johnswort","GA(Ben Hill, Bibb, Clarke, Dawson, Decatur, Elbert, Fulton, Grady, Gwinnett, Hall, Jenkins, Morgan, Rockdale, Upson)"
"Hypericum perforatum","common St. Johnswort","GA(Clarke)"
"Hypericum prolificum","shrubby St. Johnswort","GA(Catoosa, Chattooga, Floyd, Heard, Lumpkin, Towns, Union)"
"Hypericum pseudomaculatum","false spotted St. Johnswort","GA(Chatham, Lamar, Whitfield)"
"Hypericum punctatum","spotted St. Johnswort","GA(Banks, Bartow, Brooks, Clarke, Dade, Dawson, Dougherty, Elbert, Forsyth, Gilmer, Grady, Hall, Harris, Jasper, Jones, Madison, Morgan, Oconee, Oglethorpe, Rabun, Stephens, Talbot, Taylor, Towns, Union, Upson, White, Wilkes)"
"Hypericum setosum","hairy St. Johnswort","GA(Ben Hill, Camden, Charlton, Cook, Decatur, Lanier, Lee, Sumter, Tift, Toombs, Wayne)"
"Hypericum suffruticosum","pineland St. Johnswort","GA(Atkinson, Bacon, Baker, Ben Hill, Berrien, Brooks, Bulloch, Camden, Chatham, Clinch, Colquitt, Cook, Decatur, Dodge, Dooly, Early, Effingham, Irwin, Jeff Davis, Lanier, Laurens, McIntosh, Telfair, Thomas, Tift, Toombs, Wayne, Wheeler, Worth)"
"Hypericum tenuifolium","Atlantic St. John's-Wort","GA(Brantley, Bryan, Bulloch, Candler, Charlton, Evans, Irwin, Liberty, McIntosh, Tattnall, Turner, Wayne)"
"Hypericum tetrapetalum","fourpetal St. Johnswort","GA(Atkinson, Camden, Charlton, Clinch, Cook, Echols, Glynn, Long, McIntosh, Mitchell, Tift, Ware)"
"Hypochaeris","cat's ear","GA(Bibb, Camden, Clarke, Elbert, Harris, Lowndes, Ware, Whitfield)"
"Hypochaeris brasiliensis","Brazilian cat's ear","GA(Clarke, Harris, Ware)"
"Hypochaeris brasiliensis var. tweediei","Tweedy's cat's ear","GA(Clarke, Harris, Ware)"
"Hypochaeris microcephala","smallhead cat's ear","GA(Camden)"
"Hypochaeris microcephala var. albiflora","smallhead cat's ear","GA(Camden)"
"Hypochaeris radicata","hairy cat's ear","GA(Bibb, Clarke, Elbert, Harris, Lowndes, Whitfield)"
"Hypoxis","star-grass","GA(Baker, Bartow, Berrien, Bibb, Brantley, Brooks, Bulloch, Camden, Charlton, Chatham, Cherokee, Clarke, Clay, Cobb, Coffee, Colquitt, Columbia, Dade, Decatur, Dodge, Douglas, Early, Echols, Elbert, Emanuel, Floyd, Fulton, Grady, Hall, Harris, Hart, Irwin, Johnson, Lee, Liberty, Lincoln, Lowndes, Madison, McIntosh, Meriwether, Miller, Morgan, Murray, Muscogee, Putnam, Rabun, Stephens, Stewart, Talbot, Tattnall, Thomas, Tift, Toombs, Turner, Upson, Walker, White, Whitfield, Worth)"
"Hypoxis hirsuta","common goldstar","GA(Baker, Bartow, Bibb, Brantley, Bulloch, Cherokee, Clarke, Clay, Cobb, Coffee, Colquitt, Columbia, Dade, Decatur, Douglas, Echols, Elbert, Floyd, Fulton, Hall, Harris, Hart, Irwin, Johnson, Lee, Lincoln, Madison, Meriwether, Miller, Morgan, Murray, Muscogee, Putnam, Rabun, Stephens, Stewart, Talbot, Tift, Toombs, Turner, Upson, Walker, White, Whitfield)"
"Hypoxis juncea","fringed yellow star-grass","GA(Baker, Berrien, Brooks, Bulloch, Camden, Charlton, Chatham, Colquitt, Dodge, Early, Emanuel, Grady, Lowndes, McIntosh, Tattnall, Tift, Worth)"
"Hypoxis wrightii","Wright's star-grass","GA(Liberty, Miller, Thomas, Turner)"
"Hyptis","bushmint","GA(Atkinson, Baker, Brooks, Bryan, Bulloch, Camden, Charlton, Chatham, Coffee, Colquitt, Cook, Crisp, Decatur, Dooly, Early, Echols, Emanuel, Glynn, Grady, Irwin, Johnson, Long, Lowndes, McIntosh, Miller, Seminole, Taylor, Terrell, Thomas, Tift, Toombs, Ware, Wayne, Wilcox, Worth)"
"Hyptis alata","clustered bushmint","GA(Atkinson, Baker, Brooks, Bulloch, Charlton, Chatham, Coffee, Colquitt, Crisp, Dooly, Emanuel, Grady, Irwin, Johnson, Long, McIntosh, Taylor, Terrell, Thomas, Tift, Toombs, Wilcox, Worth)"
"Hyptis mutabilis","tropical bushmint","GA(Bryan, Camden, Charlton, Cook, Decatur, Early, Echols, Glynn, Grady, Lowndes, Miller, Seminole, Thomas, Ware, Wayne)"
"Ilex","holly","GA(Appling, Atkinson, Bacon, Baker, Baldwin, Barrow, Bartow, Ben Hill, Berrien, Bibb, Brantley, Brooks, Bryan, Bulloch, Burke, Calhoun, Camden, Candler, Carroll, Catoosa, Charlton, Chatham, Chattooga, Clarke, Clay, Clayton, Clinch, Coffee, Colquitt, Columbia, Cook, Crisp, Dade, Dawson, DeKalb, Decatur, Dodge, Dooly, Dougherty, Early, Echols, Elbert, Emanuel, Fannin, Fayette, Floyd, Forsyth, Gilmer, Glascock, Glynn, Gordon, Grady, Greene, Gwinnett, Habersham, Hall, Hancock, Harris, Irwin, Jackson, Jasper, Jefferson, Jenkins, Johnson, Lamar, Lanier, Laurens, Lee, Liberty, Lincoln, Long, Lowndes, Lumpkin, Macon, Madison, Marion, McDuffie, McIntosh, Meriwether, Miller, Mitchell, Morgan, Murray, Newton, Oconee, Oglethorpe, Pickens, Pierce, Pike, Pulaski, Putnam, Rabun, Randolph, Richmond, Rockdale, Screven, Seminole, Spalding, Stephens, Sumter, Talbot, Tattnall, Taylor, Telfair, Thomas, Tift, Toombs, Towns, Treutlen, Troup, Turner, Twiggs, Union, Upson, Walker, Walton, Ware, Wayne, Wheeler, White, Whitfield, Wilcox, Wilkinson, Worth)"
"Ilex ambigua","Carolina holly","GA(Baker, Baldwin, Ben Hill, Calhoun, Camden, Charlton, Chatham, Clay, Coffee, Colquitt, Columbia, Dade, Dawson, Decatur, Early, Fannin, Floyd, Gilmer, Lincoln, Long, Lowndes, Lumpkin, McDuffie, McIntosh, Pickens, Pierce, Rabun, Richmond, Seminole, Stephens, Telfair, Thomas, Towns, Union, Upson, Walker, White, Wilkinson)"
"Ilex amelanchier","sarvis holly","GA(Brantley, Bulloch, Camden, Long, Tattnall, Telfair)"
"Ilex cassine","dahoon","GA(Burke, Camden, Charlton, Chatham, Clay, Clinch, Early, Echols, Glynn, Liberty, McIntosh, Ware)"
"Ilex cassine var. cassine","dahoon","GA(Burke, Camden, Charlton, Chatham, Clay, Clinch, Early, Echols, Glynn, Liberty, McIntosh, Ware)"
"Ilex coriacea","large gallberry","GA(Appling, Berrien, Brantley, Brooks, Calhoun, Candler, Charlton, Chatham, Clay, Clinch, Columbia, Decatur, Echols, Elbert, Emanuel, Grady, Lanier, Lee, Liberty, Long, Marion, McDuffie, McIntosh, Meriwether, Randolph, Screven, Talbot, Tattnall, Telfair, Turner, Ware)"
"Ilex decidua","possumhaw","GA(Baker, Baldwin, Bibb, Brooks, Charlton, Chatham, Clarke, Columbia, DeKalb, Decatur, Dodge, Dooly, Dougherty, Fayette, Floyd, Glynn, Gordon, Grady, Greene, Harris, Jackson, Jasper, Laurens, Lee, Long, Lowndes, Macon, Madison, McIntosh, Morgan, Murray, Oconee, Oglethorpe, Pike, Putnam, Screven, Seminole, Spalding, Talbot, Tattnall, Toombs, Upson, Wayne, Worth)"
"Ilex glabra","inkberry","GA(Baker, Bartow, Ben Hill, Bulloch, Camden, Candler, Charlton, Chatham, Coffee, Crisp, Dodge, Dougherty, Early, Emanuel, Glascock, Hancock, Harris, Irwin, Lanier, Long, Lowndes, McDuffie, Mitchell, Pike, Pulaski, Screven, Sumter, Talbot, Tattnall, Taylor, Telfair, Thomas, Tift, Toombs, Treutlen, Turner, Ware, Wheeler, Worth)"
"Ilex longipes","Georgia holly","GA(Catoosa, Columbia, Dade, Floyd, Gordon)"
"Ilex myrtifolia","myrtle dahoon","GA(Appling, Bacon, Ben Hill, Berrien, Brantley, Charlton, Chatham, Clay, Clinch, Coffee, Colquitt, Cook, Crisp, Dodge, Dooly, Dougherty, Early, Echols, Irwin, Jefferson, Jenkins, Long, McIntosh, Miller, Pierce, Pulaski, Rabun, Screven, Tattnall, Telfair, Tift, Toombs, Troup, Turner, Ware, Wayne, Wilcox)"
"Ilex opaca","American holly","GA(Atkinson, Baker, Baldwin, Brooks, Bulloch, Camden, Carroll, Charlton, Chatham, Chattooga, Clarke, Coffee, Colquitt, Crisp, Dade, DeKalb, Echols, Elbert, Fannin, Gilmer, Glascock, Glynn, Grady, Habersham, Hall, Jackson, Jefferson, Johnson, Lanier, Laurens, Liberty, Lowndes, Lumpkin, Macon, McDuffie, McIntosh, Mitchell, Morgan, Newton, Oglethorpe, Pickens, Pike, Pulaski, Rabun, Spalding, Sumter, Tattnall, Tift, Towns, Twiggs, Union, Ware, Whitfield, Worth)"
"Ilex opaca var. opaca","American holly","GA(Atkinson, Baker, Baldwin, Brooks, Bulloch, Camden, Carroll, Charlton, Chatham, Chattooga, Clarke, Coffee, Colquitt, Crisp, Dade, DeKalb, Echols, Elbert, Fannin, Gilmer, Glascock, Glynn, Grady, Habersham, Hall, Jackson, Jefferson, Johnson, Lanier, Laurens, Liberty, Lowndes, Lumpkin, Macon, McDuffie, McIntosh, Mitchell, Morgan, Newton, Oglethorpe, Pickens, Pike, Pulaski, Rabun, Spalding, Sumter, Tattnall, Tift, Towns, Twiggs, Union, Ware, Whitfield, Worth)"
"Ilex verticillata","common winterberry","GA(Barrow, Bartow, Bibb, Carroll, Clarke, Clayton, Dawson, Early, Forsyth, Gwinnett, Hall, Harris, Lamar, Marion, Meriwether, Oglethorpe, Pickens, Rabun, Rockdale, Walton)"
"Ilex vomitoria","yaupon","GA(Baker, Ben Hill, Brantley, Bryan, Bulloch, Camden, Candler, Charlton, Chatham, Clay, Crisp, Echols, Glynn, Harris, Lee, Liberty, Long, McIntosh, Morgan, Screven, Talbot, Tattnall, Toombs, Wayne, Worth)"
"Illicium","anisetree","GA(Decatur, Thomas)"
"Illicium floridanum","Florida anisetree","GA(Decatur)"
"Illicium parviflorum","yellow anisetree","GA(Thomas)"
"Impatiens","touch-me-not","GA(Ben Hill, Bibb, Catoosa, Cherokee, Clarke, Cobb, Columbia, Dawson, DeKalb, Elbert, Forsyth, Gordon, Hall, Lincoln, Meriwether, Morgan, Murray, Oglethorpe, Rabun, Randolph, Towns, Union, Walker, White, Wilkes)"
"Impatiens capensis","jewelweed","GA(Ben Hill, Bibb, Catoosa, Cherokee, Clarke, Cobb, Columbia, Dawson, DeKalb, Elbert, Forsyth, Gordon, Hall, Lincoln, Meriwether, Morgan, Murray, Oglethorpe, Rabun, Randolph, Union, White, Wilkes)"
"Impatiens pallida","pale touch-me-not","GA(Murray, Towns, Union, Walker)"
"Indigofera","indigo","GA(Atkinson, Baker, Brooks, Calhoun, Charlton, Chatham, Colquitt, Cook, Crawford, Decatur, Dodge, Echols, Glascock, Grady, Irwin, Jones, Lanier, Liberty, Long, Lowndes, McIntosh, Pierce, Talbot, Telfair, Thomas, Tift, Toombs, Upson, Wayne)"
